Search Parameters	Year	Mo	Dy	Date	Hr	Mn	Sec	Tsu	Vol	Location Name	Latitude	Longitude	Focal Depth (km)	Mag	MMI Int	Deaths	Death Description	Missing	Missing Description	Injuries	Injuries Description	Damage ($Mil)	Damage Description	Houses Destroyed	Houses Destroyed Description	Houses Damaged	Houses Damaged Description	Total Deaths	Total Death Description	Total Missing	Total Missing Description	Total Injuries	Total Injuries Description	Total Damage ($Mil)	Total Damage Description	Total Houses Destroyed	Total Houses Destroyed Description	Total Houses Damaged	Total Houses Damaged Description
	2006	6	3	2006-06-03	7	15	35.6			IRAN:  SOUTHERN:  QESHM	26.759	55.843	5	5.1		2	1			4	1		1		2		2	2	1			4	1		1		2		
	2006	6	3	2006-06-03	11	7	45			TURKEY:  HAKKARI	37.605	43.787	10	4.1									1												1				
	2006	6	3	2006-06-03	16	34	25.8			MALAWI:  SALIMA	-14.52	34.28	10	3.8									1												1				
	2006	6	11	2006-06-11	20	1	26.3			JAPAN:  KYUSHU	33.129	131.141	140	6.3						8	1											8	1						
	2006	6	13	2006-06-13	14	15	38.3			ALBANIA:  TEPELENE	40.27	19.96	10	4.5						1	1		1	12	1							1	1		1	12	1		
	2006	6	20	2006-06-20	16	52	57.9			CHINA:  GANSU PROVINCE	33.068	104.95	24	4.5						5	1		1		1							5	1		1		1		
	2006	7	17	2006-07-17	8	19	25	2832		INDONESIA:  JAVA	-9.254	107.411	34	7.7														802	3			498	3	55	4	1623	4		
	2006	7	22	2006-07-22	1	10	29			CHINA:  YANJIN	27.995	104.138	56	4.9		22	1			106	3							22	1			106	3						
	2006	7	29	2006-07-29	0	11	51.3			TAJIKISTAN:  PANJ-QUMSANGIR	37.255	68.828	34	5.6		3	1			19	1			721	3	721	3	3	1			19	1			721	3		
	2006	8	5	2006-08-05	14	3	43.7			ARGENTINA:  MENDOZA	-33.131	-68.707	22	5.6	5								1												1				
	2006	8	18	2006-08-18	11	45	49.4			TAJIKISTAN:  DUSHANBE (STALINABAD)	38.246	69.22	10	4.7									1												1				
	2006	8	24	2006-08-24	20	1	0.2			FRANCE	45.84	-0.14	5	4.3									1												1				
	2006	8	25	2006-08-25	5	51	44.3			CHINA:  SICHUAN PROVINCE	28.012	104.151	22	4.6		1	1			31	1		2					1	1			31	1		2				
	2006	9	10	2006-09-10	14	56	8.1			GULF OF MEXICO	26.319	-86.606	14	5.8																									
	2006	9	28	2006-09-28	6	22	9.7	2972		SAMOA ISLANDS	-16.592	-172.033	28	6.9	4																								
	2006	9	29	2006-09-29	13	8	26.1			TRINIDAD:  PORT-OF-SPAIN	10.876	-61.756	53	6.1						3	1		1	1	1							3	1		1	1	1		
	2006	9	29	2006-09-29	18	23	5.9			TRINIDAD:  GASPARILLO	10.814	-61.758	52	5.5		1	1											1	1										
	2006	10	15	2006-10-15	17	7	49.2	3017		HAWAIIAN ISLANDS	19.878	-155.935	39	6.7	8						3	73	4										3	73	4				
	2006	10	20	2006-10-20	10	48	56			PERU:  CENTRAL	-13.457	-76.677	23	6.7	4								1												1				
	2006	10	23	2006-10-23	21	17	19	5910		JAPAN:  IZU ISLANDS	29.351	140.27	11	6.4																									
	2006	10	27	2006-10-27	10	52	5.7			CHINA:  HUBEI	31.56	113.21	10	4.5									2												2				
	2006	11	3	2006-11-03	6	21	39.2			CHINA:  NEI MONGOL	43.469	119.558	10	4.7									3	55886	4										3	5586	4		
	2006	11	13	2006-11-13	8	2	44.4	5805		TAIWAN REGION	20.656	119.997	14	5.2																									
	2006	11	15	2006-11-15	11	14	13.5	3016		RUSSIA:  KURIL ISLANDS	46.592	153.266	10	8.3																		1	1		2				
	2006	11	17	2006-11-17	18	19	51.6			FRANCE:  PYRENEES	42.99	-0.05	10	4.7									1												1				
	2006	11	23	2006-11-23	7	15	20.5			HUNGARY:  BEREGDAROC	48.195	22.46	10	4.8									1												1				
	2006	11	23	2006-11-23	11	4	44.3			CHINA:  XINJIANG PROVINCE:  NORTH	44.229	83.524	20	4.7									2	60	2										2	60	1		
	2006	11	24	2006-11-24	6	33	26.4			INDONESIA:  SULAWESI: PINRANG	-3.728	119.233	31	5.2									1												1				
	2006	11	29	2006-11-29	1	32	17.9			INDONESIA:  HALMAHERA:  MOROTAI	2.52	128.283	39	6.2									2	50	1										2	50	1		
	2006	12	1	2006-12-01	14	1	47.5			INDONESIA:  SUMABAWA:  BIMA	-8.251	118.777	43	6.3		1	1			14	1		1	20	1			1	1			14	1		1	20	1		
	2006	12	8	2006-12-08	16	48	39.1			SWITZERLAND:  BASEL	47.58	7.6	5	3.9									1												1				
	2006	12	12	2006-12-12	17	2	29.7			THAILAND:  MAE RIM	18.901	98.916	10	4.6									1	5	1										1	5	1		
	2006	12	17	2006-12-17	21	39	17.4			"INDONESIA:  SUMATERA:  NORTHERN, MUARASIPONGI"	0.626	99.859	30	5.8		7	1			100	2		3	680	3			7	1			100	2		3	680	2		
	2006	12	24	2006-12-24	22	43	26.7			INDIA:  RAJASTHAN	26.88	76.15	10	4.2																					1				
	2006	12	25	2006-12-25	20	1	0.4			KYRGYZSTAN:  KOCHKOR	42.156	76.163	12	5.8									3	2410	4										2	2410	4		
	2006	12	26	2006-12-26	12	26	21.1	3622		TAIWAN:  PINGTUNG	21.799	120.547	10	7		2	1			40	1		1		2			2	1			40	1		1		2		
	2006	12	31	2006-12-31	13	39	23.6			HUNGARY:  BUDAPEST	47.449	19.343	5	4.1									1		1										1		1		
	2007	1	8	2007-01-08	17	21	50.2			KYRGYZSTAN:  ISFARIA	39.803	70.311	18	6									2	187	3										2	187	3		
	2007	1	9	2007-01-09	14	49	48.8			CHINA:  GANSU PROVINCE	37.021	103.911	20	4.5									3	2000	4										3	2000	4		
	2007	1	10	2007-01-10	17	18	58.3			CHINA:  GANSU PROVINCE	33.259	104.74	23	4.7									1		2										1		2		
	2007	1	13	2007-01-13	4	23	21.1	3019		RUSSIA:  KURIL ISLANDS	46.243	154.524	10	8.1																									
	2007	1	21	2007-01-21	7	38	57			TURKEY:  E	39.592	42.863	3	5.1						2	1		1									2	1		1				
	2007	1	21	2007-01-21	11	27	45			INDONESIA:  MOLUCCA ISLANDS:  N	1.065	126.282	22	7.5		4	1			4	1		1					4	1			4	1		1				
	2007	2	16	2007-02-16	7	15	54			PHILIPPINES:  MINDANAO	6.614	126.24	79	4.9									1												1				
	2007	2	21	2007-02-21	11	5	29.2			"TURKEY:  DOGANKOY, PUTURGE, SIVRICE"	38.318	39.267	10	5.7									1		1		1								1		1		
	2007	3	6	2007-03-06	3	49	38.9			INDONESIA:  SUMATRA:  SOUTHERN	-0.493	100.498	19	6.4	8	67	2			826	3		3	43719	4		4	67	2			826	3		3	43719	4		4
	2007	3	6	2007-03-06	13	5	12.1			"COLOMBIA:  CAUCA, SOTARA, PURACE,"	2.082	-76.495	43	5						9	1		1	9	1							9	1		1	9	1		
	2007	3	6	2007-03-06	22	32	6.8			IRAN:  WESTERN:  DORUD	33.49	48.93	16	4.7						35	1		1									35	1		1				
	2007	3	25	2007-03-25	0	40	1.6	3038		VANUATU ISLANDS	-20.617	169.357	34	7.1																									
	2007	3	25	2007-03-25	0	41	57.8	3035		JAPAN:  HONSHU:  W COAST	37.336	136.588	8	6.7	5	1	1			359	3		3	13556	4			1	1			359	3		3	13556	4		
	2007	3	25	2007-03-25	13	57	58.2			"GREECE:  ARGOSTOLION, KEFALLINIA"	38.34	20.42	15	5.8	6								1		1										1		1		
	2007	4	1	2007-04-01	20	39	56.3	3037		SOLOMON ISLANDS	-8.466	157.043	24	8.1		2	1						3	300	3	500	3	52	2						3	2500	4	500	3
	2007	4	13	2007-04-13	5	42	23			"MEXICO:  GUERRERO, ATOYAC"	17.302	-100.198	34	6	5								1	2	1										1	2	1		
	2007	4	15	2007-04-15	3	19	30.3			JAPAN:  HONSHU:  W	34.807	136.239	16	4.6						12	1		2	63	1							12	1		2	63	2		
	2007	4	16	2007-04-16	7	38	53.8			ALBANIA:  TIRANA	41.172	19.897	14	4.5									1		1												1		
	2007	4	21	2007-04-21	17	53	46.3	3044		CHILE:  SOUTHERN	-45.243	-72.648	37	6.2	7	2	1						1			2	1	10	1						1			2	1
	2007	4	28	2007-04-28	7	18	11.3			UNITED KINGDOM:  ENGLAND:  FOLKESTONE	51.085	1.009	10	4.6	6					1	1		1									1	1		1				
	2007	5	8	2007-05-08	15	46	49.1			MONTANA:  SHERIDAN	45.394	-112.13	14	4.5	5								1												1				
	2007	5	16	2007-05-16	8	56	16.4			"LAOS:  BOKEO;  THAILAND:  CHIANG RAI, CHIAN SAEN"	20.504	100.746	24	6.3									1												1				
	2007	5	29	2007-05-29	9	36	5.6			INDONESIA: LABUHA	-1.065	127.343	24	6.1									1		2										1		2		
	2007	6	2	2007-06-02	21	34	57.7			CHINA:  YUNNAN PROVINCE:  NING'ER	23.028	101.052	5	6.1		3	1			329	3	310	4					3	1			329	3	310	4				
	2007	6	13	2007-06-13	19	29	40.1			GUATEMALA:  GUATEMALA CITY	13.554	-90.618	23	6.7									1		2		2								1		2		
	2007	6	18	2007-06-18	14	29	48.2			IRAN:  QOM	34.437	50.833	5	5.5									1		2		2								1		2		
	2007	7	13	2007-07-13	7	20	25.5			ECUADOR:  ZARUMA	-3.987	-79.836	50	4.5									1																
	2007	7	16	2007-07-16	1	13	22	3104		JAPAN:  HONSHU:  W COAST	37.57	138.478	10	6.6		9	1			1088	4	12500	4			875	3	9	1			1088	4	12500	4			875	3
	2007	7	20	2007-07-20	10	6	52			CHINA:  XINJIANG:  TEKES	42.913	82.378	10	5.6									2	2120	4										2	2120	4		
	2007	7	20	2007-07-20	11	42	22.3			CALIFORNIA:  MONTCLAIR	37.804	-122.193	5	4.2									1												1				
	2007	7	21	2007-07-21	22	44	13.5			"TAJIKISTAN:  RASHT, ASHT"	38.936	70.485	10	5.2		12	1											12	1										
	2007	7	22	2007-07-22	23	2	14.7			"INDIA:  UTTARKASHI, CHAMOLI, MUZAFFARNAGAR"	30.881	78.239	19	4.3						3	1		1		1		1					3	1		1		1		
	2007	7	26	2007-07-26	5	40	16.1			INDONESIA:  MALUKU:  N	2.872	127.464	25	6.9							2		1		1								2		1		1		
	2007	8	1	2007-08-01	17	8	51.4			VANUATU ISLANDS:  LUGANVILLE	-15.595	167.68	120	7.2									1		1		1								1		1		
	2007	8	2	2007-08-02	2	37	42.3	3155		RUSSIA:  TATAR STRAIT	47.116	141.798	5	6.2		2	1			12	1		1	11	1	20	1	2	1			12	1		1	11	2	20	1
	2007	8	2	2007-08-02	3	21	42.8	3156		ALASKA:  ALEUTIAN ISLANDS	51.307	-179.971	21	6.7																									
	2007	8	6	2007-08-06	8	48	40			UTAH:  HUNTINGTON	39.465	-111.237	2	4.2		9	1				1							9	1				1						
	2007	8	8	2007-08-08	17	4	58			INDONESIA:  JAVA	-5.968	107.655	289	7.5																									
	2007	8	15	2007-08-15	23	40	57.8	3168		"PERU:  ICA, PISCO, LIMA"	-13.386	-76.603	39	8	8	514	3			1090	4		4	52154	4	23632	4	514	3			1090	4		4	52154	4	23632	4
	2007	8	17	2007-08-17	0	38	56			UTAH	39.464	-111.207	0	1.6		3	1			6	1							3	1			6	1						
	2007	8	20	2007-08-20	19	15	53.5			INDIA:  MAHARASHTRA:  SATARA	17.2	73.7	5	4.4									1												1				
	2007	8	25	2007-08-25	4	24	21.9			"IRAN:  HADJI ABAD, ORZUIYEH"	28.154	56.652	10	5						4	1											4	1						
	2007	9	2	2007-09-02	1	5	18.1	3598		SOLOMON ISLANDS:  SANTA CRUZ ISLANDS	-11.61	165.762	35	7.2																									
	2007	9	9	2007-09-09	18	36	37.6			INDONESIA:  SITUBONDO	-7.783	114.338	35	4.8						13	1		1									13	1		1				
	2007	9	10	2007-09-10	1	49	14.2			"COLOMBIA:  NARINO, EL CHARCO, ISCUANDE, LA TOLA"	2.982	-77.967	31	6.8						5	1		1	35	1							5	1		1	35	1		
	2007	9	12	2007-09-12	11	10	26.8	3228		INDONESIA:  SUMATRA	-4.438	101.367	34	8.4		25	1			161	3		3	56425	4		4	25	1			161	3		3	56425	4		4
	2007	9	12	2007-09-12	23	49	3.7			INDONESIA:  SUMATRA	-2.625	100.841	35	7.9																									
	2007	9	28	2007-09-28	13	38	57.8			JAPAN:  VOLCANO ISLANDS	22.013	142.668	260	7.5																									
	2007	9	30	2007-09-30	5	23	34	3248		NEW ZEALAND:  AUCKLAND ISLANDS	-49.418	163.954	10	7.4																									
	2007	10	15	2007-10-15	12	29	36			NEW ZEALAND:  SOUTH ISLAND:  FIORDLAND	-44.785	167.583	26	6.8									1												1				
	2007	10	26	2007-10-26	6	50	6.6			PAKISTAN:  GHANCHE	35.304	76.753	10	4.8		1	1			12	1							1	1			12	1						
	2007	10	31	2007-10-31	3	4	54.8			CALIFORNIA:  SAN JOSE	37.434	-121.774	10	5.6									1												1				
	2007	11	6	2007-11-06	9	38	5.7			INDIA:  GUJARAT	21.181	70.724	10	5.1		1	1			5	1		1		2		2	1	1			5	1		1		2		
	2007	11	7	2007-11-07	4	12	38.6			PHILIPPINES:  BOHOL ISLAND:  MABINI	9.721	124.647	72	5.1		1	1											1	1										
	2007	11	7	2007-11-07	7	10	21.9			"BANGLADESH:  CHITTAGONG, BANDARBAN, RANGAMATI"	22.15	92.388	29	5.1						10	1		1									10	1		1				
	2007	11	14	2007-11-14	15	40	50.5	3293		"CHILE:  TOCOPILLA, MARIA ELENA"	-22.247	-69.89	40	7.7	8	2	1			65	2		3		4			2	1			65	2		3		4		
	2007	11	16	2007-11-16	3	13	0.1			PERU-ECUADOR:  GUAYAQUIL	-2.312	-77.838	123	6.8									1												1				
	2007	11	20	2007-11-20	5	20	3.4			"IRAN:  WESTERN:  QAL' EH-YE TOL, KHUZESTAN"	31.68	49.93	7	4.8						30	1		1		1		1					30	1		1		1		
	2007	11	25	2007-11-25	16	2	17.9			INDONESIA:  SUMBAWA ISLAND	-8.277	118.339	35	6.5		3	1				3		2		3			3	1				3		2		3		
	2007	11	25	2007-11-25	23	12	17			"INDIA:  BADAUN, MEERUT, NOIDA, REWARI"	28.555	77.057	10	4.7									1		1		1								1		1		
	2007	11	29	2007-11-29	19	0	20.4	5441		MARTINIQUE	14.944	-61.274	156	7.4		1	1			102	3	103	4					1	1			102	3	103	4				
	2007	12	9	2007-12-09	2	3	29.4			BRAZIL:  MINAS GERAIS	-15.048	-44.231	10	4.6		1	1			6	1		2	76	2			1	1			6	1		2	76	2		
	2007	12	9	2007-12-09	7	28	20.8	3599		KERMADEC ISLANDS	-25.996	-177.514	153	7.8																									
	2007	12	15	2007-12-15	18	22	27.1			"CHILE:  OFF CENTRAL COAST, VINA DEL MAR, VALPARAISO"	-32.689	-71.695	25	5.9						4	1		1		1							4	1		1		1		
	2007	12	20	2007-12-20	7	55	15.8			NEW ZEALAND:  OFF COAST NORTH ISLAND	-39.011	178.291	20	6.6	7	1	1						1	3	1			1	1						1	3	1		
	2007	12	20	2007-12-20	9	48	29.9			"TURKEY:  CENTRAL:  YENIYAPAN, ABAZLAR, SUYUGUZEL"	39.417	33.212	10	5.7									1		1		1								1		1		
	2007	12	26	2007-12-26	23	47	10.7			TURKEY:  CENTRAL:  ANKARA	39.446	33.162	8	5.6									3	2214	4	2214	4								3	2214	4		
	2008	1	1	2008-01-01	6	32	27.9			KYRGYZSTAN:  OSH	40.288	72.985	6	5.6									3	5385	4										3	5385	4		
	2008	1	5	2008-01-05	1	56	45.4			"GUATEMALA:  COLOMBA, FLORES, COSTA CUCA"	14.129	-91.479	66	5.6									1												1				1
	2008	1	7	2008-01-07	3	12	26.8			"INDONESIA: NEW GUINEA: MANOKWARI,"	-0.795	134.012	12	5.9						6	1		1			22	1					6	1		1			22	1
	2008	1	9	2008-01-09	22	24	3.8			ALGERIA:  ORAN	35.616	-0.57	10	4.6		1	1						2					1	1						2				2
	2008	1	12	2008-01-12	22	44	47.3			"INDIA-BANGLADESH:  RANGAMATI, BANGLADESH"	22.761	92.333	34	5									1				2								1				2
	2008	1	22	2008-01-22	17	14	57.9			INDONESIA:  SUMATRA:  NIAS ISLAND:  GUNUNGSITOLI	1.011	97.442	20	6.1		1	1			5	1		1					1	1			5	1		1				2
	2008	2	3	2008-02-03	7	34	12.1			CONGO:  BUKAVU	-2.296	28.9	10	5.9		38	1			717	3		3	99	2	815	3	38	1			717	3		3	99	2	815	3
	2008	2	6	2008-02-06	6	9	40.4			INDIA:  WEST BENGAL	23.433	87.111	10	4.3		1	1			50	1		2					1	1			50	1		2				3
	2008	2	9	2008-02-09	7	12	5.8			MEXICO:  BAJA CALIFORNIA	32.456	-115.315	3	5.1									1												1				
	2008	2	13	2008-02-13	20	55	31.5			IRAN:  NASIRABAD	31.73	51.2	14	4.9						10	1		1									10	1		1			70	2
	2008	2	14	2008-02-14	2	7	46.7			RWANDA:  GISENYI	-2.404	28.918	10	4.9		1	1			109	3		1			5	1	1	1			109	3		1			5	1
	2008	2	15	2008-02-15	10	36	19			LEBANON-SYRIA:  BAALBEC	33.327	35.305	10	5						10	1		1				1					10	1		1				1
	2008	2	20	2008-02-20	8	8	30.5			INDONESIA:  SUMATERA:  ACEH PROVINCE	2.768	95.964	26	7.4		3	1			25	1							3	1			25	1						
	2008	2	21	2008-02-21	14	16	2.7			NEVADA:  WELLS	41.153	-114.867	7	6	8					3	1		2			720	3					3	1		2			720	3
	2008	2	25	2008-02-25	8	36	33	3382		INDONESIA:  SUMATRA:  PADANG	-2.486	99.972	25	6.5									1				2								1				2
	2008	2	27	2008-02-27	0	56	47.8			UNITED KINGDOM:  ENGLAND:  LINCOLNSHIRE	53.403	-0.332	18	4.8						1	1		1									1	1		1				1
	2008	2	29	2008-02-29	4	46	0			BRAZIL:  SOBRAL	-3.7	-40.35	10	4.3									1												1				
	2008	3	9	2008-03-09	11	10	41			INDIA:  GUJARAT	23.33	70.592	10	4.5									1												1				1
	2008	3	20	2008-03-20	22	32	57.9			CHINA:  XINJIANG PROVINCE	35.49	81.467	10	7.2									3	2200	4										3	2200	4		
	2008	3	29	2008-03-29	12	51	24.7			PERU:  OFF COAST	-12.178	-77.164	51	5.3						1	1		1	5	1							1	1		1	5	1		
	2008	4	9	2008-04-09	12	46	12.7	3505		NEW CALEDONIA:  LOYALTY ISLANDS	-20.071	168.892	33	7.3																									
	2008	4	15	2008-04-15	3	3	4.6			GUATEMALA	13.564	-90.599	33	6.1									1												1			8	1
	2008	4	18	2008-04-18	9	36	59.1			ILLINOIS:  WEST SALEM	38.452	-87.886	14	5.3									1				1								1				1
	2008	4	26	2008-04-26	6	40	10.6			NEVADA:  FALLON	39.52	-119.93	1	5									1				1								1				1
	2008	4	28	2008-04-28	18	33	34.2	3601		VANUATU ISLANDS	-19.941	168.953	32	6.4																									
	2008	5	1	2008-05-01	0	15	27.4			"IRAN:  LORESTAN, BOROUJERD"	33.86	48.59	16	4.5						100	1		1									100	2		1				
	2008	5	7	2008-05-07	16	45	20.2			JAPAN:  HONSHU:  E COAST	36.158	141.521	39	6.8						6	1		1									6	1		1				
	2008	5	12	2008-05-12	6	28	0.5	3586		CHINA:  SICHUAN PROVINCE	30.98	103.396	10	7.9	9	87652	4			374171	4	86000	4	5360000	4	5360000	4	87652	4			374171	4	86000	4	5360000	4	21000000	4
	2008	5	21	2008-05-21	19	23	57.3			BRAZIL:  ALCANTARAS	-3.91	-40.44	10										1												1				
	2008	5	24	2008-05-24	19	20	42.4			"COLOMBIA:  META, QUETAME"	4.33	-73.764	9	5.6		6	1						1				2	6	1						1				2
	2008	5	25	2008-05-25	8	21	48.7			CHINA:  SICHUAN PROVINCE	32.57	105.424	10	6		8	1			927	3		4	400000	4	400000	4	8	1			927	3		4	400000	4		
	2008	5	26	2008-05-26	15	1	33.6			PANAMA-COSTA RICA	8.423	-82.968	13	5.6									1												1				
	2008	5	27	2008-05-27	8	37	51.5			CHINA:  SICHUAN PROVINCE	32.71	105.54	10	5.7									3	20000	4	20000	4								3	20000	4		
	2008	5	29	2008-05-29	15	46	0.4			ICELAND: REYKJAVIK	64.004	-21.012	10	6.3						30	1		1									30	1		1				
	2008	6	6	2008-06-06	20	2	56.8			ALGERIA:  ORAN	35.883	-0.658	4	5.5		1	1			30	1		2		2		2	1	1			30	1		2		2		
	2008	6	6	2008-06-06	21	16	33.8			INDIA:  MANPUR	24.702	84.964	11	3.8						2	1		1									2	1		1				
	2008	6	8	2008-06-08	12	25	29.7			"GREECE:  ACHAIA, ILEIA"	37.963	21.525	16	6.3		2	1			240	3		3	1156	4			2	1			240	3		3	1156	4		
	2008	6	13	2008-06-13	23	43	45.3	5888		JAPAN:  HONSHU:  TOKYO	39.03	140.881	8	6.9		23	1			357	3		3			614	3	23	1			357	3		3			614	3
	2008	7	1	2008-07-01	0	17	33.2			"PERU:  CENTRAL:  OXAPAMPA, HUANCABAMBA"	-10.368	-75.512	33	5.5						45	1		1	60	1	25	1					45	1		1	60	2	25	1
	2008	7	3	2008-07-03	23	10	2			IRAN:  NE:  KATKAN	35.5	58.8	10	5									1		2		2								1		2		
	2008	7	5	2008-07-05	2	12	4.4			RUSSIA:  SEA OF OKHOTSK	53.882	152.886	633	7.7																									
	2008	7	8	2008-07-08	9	13	7.4			PERU:  AREQUIPA	-15.986	-71.748	123	6.2		1	1						1				2	1	1						1				2
	2008	7	19	2008-07-19	2	39	28.7	3558		JAPAN:  OFF EAST COAST OF HONSHU ISLAND	37.552	142.214	22	6.9																									
	2008	7	23	2008-07-23	15	26	19.9			JAPAN:  HONSHU:  N	39.802	141.464	108	6.8		1	1			200	3		2	90	2	90	2	1	1			200	3		2			90	2
	2008	7	24	2008-07-24	7	9	30			CHINA:  SICHUAN PROVINCE	32.747	105.542	10	5.6		1	1			17	1		3	1200	4	1200	4	1	1			17	1		3	1200	4		
	2008	7	29	2008-07-29	18	42	15.7			CALIFORNIA:  LOS ANGELES	33.953	-117.761	15	5.4	6					8	1		1				1					8	1		1				1
	2008	8	1	2008-08-01	8	32	43			CHINA:  SICHUAN PROVINCE	32.036	104.722	7	5.7						231	3		2	540	3	540	3					231	3		2	540	3	2450	4
	2008	8	5	2008-08-05	9	49	17.2			CHINA:  SICHUAN PROVINCE	32.756	105.494	6	6		4	1			29	1		1					4	1			29	1		1				1
	2008	8	11	2008-08-11	7	19	26.4			VENEZUELA:  CARIACO-CUMANA	10.514	-64.171	13	5.2									1			50	1								1			50	1
	2008	8	15	2008-08-15	10	25	16.5			PHILIPPINES:  LUZON:  LEGASPI	12.897	124.319	10	6									1												1				
	2008	8	19	2008-08-19	21	35	17.2			CHINA:  YUNNAN PROVINCE	25.051	97.919	46	5									3	5	1	5	1								3	5	1	2420	4
	2008	8	21	2008-08-21	12	24	29.5			CHINA:  YUNNAN PROVINCE	25.044	97.684	1	6		5	1			127	3		3					5	1			127	3		3				
	2008	8	25	2008-08-25	11	25	19.3			NEW ZEALAND:  NORTH ISLAND	-39.715	176.851	32	5.5									2												1				
	2008	8	25	2008-08-25	13	21	58.8			CHINA:  TIBET (XIZANG PROVINCE)	30.901	83.52	12	6.7	8								2			700	3								2			700	3
	2008	8	26	2008-08-26	8	7	8.5	3588		ATLANTIC OCEAN:  SOUTH	-52.533	26.417	10	5																									
	2008	8	27	2008-08-27	1	35	32.1			RUSSIA: LAKE BAYKAL (BAIKAL)	51.607	104.158	16	6.2	8								1												1				
	2008	8	30	2008-08-30	8	30	54			CHINA:  SICHUAN PROVINCE	26.272	101.937	17	5.9		43	1			589	3		4	392000	4	392000	4	43	1			589	3		4	392000	4		
	2008	9	3	2008-09-03	2	22	47			TURKEY:  ADIYAMAN	37.507	38.503	6	4.1									1												1				
	2008	9	9	2008-09-09	3	7	27.5			INDONESIA:  SUMATRA:  SOUTHERN	-3.935	103.058	25	5.4		2	1						2					2	1						2			113	3
	2008	9	10	2008-09-10	11	0	34			IRAN:  HORMOZGAN PROVINCE	26.743	55.828	12	6.1		7	1			45	1		3		3		3	7	1			45	1		3		3		3
	2008	9	11	2008-09-11	0	20	50.9	3589		JAPAN:  HOKKAIDO	41.892	143.754	25	6.8																									
	2008	9	16	2008-09-16	21	47	14.5			INDIA:  MAHARASHTRA	17.438	73.915	10	5		1	1			20	1		3					1	1			20	1		3			1500	4
	2008	10	5	2008-10-05	15	52	49.4			KYRGYZSTAN: NURA	39.533	73.824	27	6.6		74	2			140	3		2		2			74	2			140	3		2		2		
	2008	10	6	2008-10-06	8	30	45.5			CHINA:  TIBET (XIZANG PROVINCE)	29.807	90.35	12	6.3		9	1			19	1		2		3			9	1			19	1		2		3		
	2008	10	11	2008-10-11	9	6	10.7			RUSSIA:  CAUCASUS:  CHECHNYA	43.372	46.254	16	5.7		13	1			100	2		3			1027	4	13	1			100	2		3			1027	4
	2008	10	28	2008-10-28	23	9	57.6			PAKISTAN:  QUETTA	30.639	67.351	15	6.4	6	215	3			320	3		4	3487	4	3487	4	215	3			320	3		4	3487	4	4125	4
	2008	10	29	2008-10-29	11	32	43.1			PAKISTAN:  ZIARAT	30.598	67.455	14	6.4						1	1		2		2		2					1	1		2		2		
	2008	11	10	2008-11-10	1	22	2.5			CHINA:  QINGHAI PROVINCE	37.565	95.833	19	6.3						3	1	4	2		2		2					3	1	4	2		2		1
	2008	11	16	2008-11-16	17	2	32.7	3623		INDONESIA:  MINAHASSA PENINSULA	1.271	122.091	30	7.3		6	1			77	2		3			1000	3	6	1			77	2		3			1000	3
	2008	11	19	2008-11-19	6	11	20.7			"PANAMA:  PASO CANOA, DAVID, PUERTO ARMUELLES"	8.267	-82.967	32	6.1									1												1				
	2008	11	22	2008-11-22	22	27	55.1			CZECH REPUBLIC:  KARVINA	49.914	18.455		4.1		2	1			3	1		1					2	1			3	1		1				
	2008	12	7	2008-12-07	13	36	21.3			IRAN:  S	26.99	55.8	15	5.4						5	1		1									5	1		1				1
	2008	12	9	2008-12-09	18	53	11.1			CHINA:  SICHUAN PROVINCE	32.518	105.395	25	4.5		2	1			3	1							2	1			3	1						
	2008	12	10	2008-12-10	10	53	50			ARGENTINA:  POTRERILLOS	-32.938	-69.259	10	4.1									1												1				
	2008	12	25	2008-12-25	20	20	51.5			MYANMAR (BURMA)	23.97	97.569	35	4.7						19	1		3	30	1	30	1					19	1		3	30	1	5400	4
	2008	12	25	2008-12-25	20	20	51.5			CHINA:  YUNNAN PROVINCE:  SIMAO	23.97	97.569	35	4.8						19	1		2	30	1	5400	4					19	1		2	30	1	5400	4
	2008	12	29	2008-12-29	3	37	41.7			"AFGHANISTAN; PAKISTAN:  MANSEHRA, SHANGLA"	36.401	71.075	158	5.8									1												1				1
	2009	1	3	2009-01-03	19	43	50.6	3647		PAPUA NEW GUINEA:  NEAR NORTH COAST	-0.414	132.885	17	7.6		5	1			250	3		3			840	3	5	1			250	3		3			840	3
	2009	1	3	2009-01-03	22	33	40.2	3649		PAPUA NEW GUINEA:  NEAR NORTH COAST	-0.691	133.305	23	7.3																									
	2009	1	8	2009-01-08	19	21	35.6			COSTA RICA:  LA PAZ	10.165	-84.197	14	6.1		23	1	17	1	100	2	502	4	518	3			23	1	17	1	100	2	502	4	518	3		
	2009	1	15	2009-01-15	17	49	39	3691		RUSSIA:  KURIL ISLANDS	46.857	155.154	36	7.4																									
	2009	1	21	2009-01-21	18	17	3.3			PERU:  PACCHA	-11.779	-75.626	10	4.6									2	50	1	500	3								2	50	1	500	3
	2009	2	11	2009-02-11	17	34	50.8	3692		INDONESIA:  KEPULAUAN TALAUD	3.884	126.397	22	7.2						64	2		2			597	3					64	2		2			597	3
	2009	2	20	2009-02-20	3	48	48.2			PAKISTAN; INDIA:  KASHMIR	34.204	73.899	10	5.4						44	1		1									44	1		1				2
